Vaor do Sensor,Timestamp
218,2025-03-11 16:45:59
217,2025-03-11 16:46:00
217,2025-03-11 16:46:01
217,2025-03-11 16:46:02
217,2025-03-11 16:46:03
217,2025-03-11 16:46:04
217,2025-03-11 16:46:05
217,2025-03-11 16:46:06
217,2025-03-11 16:46:07
217,2025-03-11 16:46:08
217,2025-03-11 16:46:09
218,2025-03-11 16:46:10
217,2025-03-11 16:46:11
218,2025-03-11 16:46:12
217,2025-03-11 16:46:13
217,2025-03-11 16:46:14
218,2025-03-11 16:46:15
217,2025-03-11 16:46:16
217,2025-03-11 16:46:17
217,2025-03-11 16:46:18
217,2025-03-11 16:46:19
217,2025-03-11 16:46:20
248,2025-03-11 16:46:21
333,2025-03-11 16:46:24
319,2025-03-11 16:46:27
301,2025-03-11 16:46:30
286,2025-03-11 16:46:33
273,2025-03-11 16:46:36
264,2025-03-11 16:46:39
257,2025-03-11 16:46:42
252,2025-03-11 16:46:46
247,2025-03-11 16:46:49
244,2025-03-11 16:46:52
241,2025-03-11 16:46:55
240,2025-03-11 16:46:58
238,2025-03-11 16:47:01
238,2025-03-11 16:47:02
237,2025-03-11 16:47:03
236,2025-03-11 16:47:04
236,2025-03-11 16:47:05
235,2025-03-11 16:47:06
234,2025-03-11 16:47:07
234,2025-03-11 16:47:08
233,2025-03-11 16:47:09
233,2025-03-11 16:47:10
232,2025-03-11 16:47:11
232,2025-03-11 16:47:12
231,2025-03-11 16:47:13
231,2025-03-11 16:47:14
231,2025-03-11 16:47:15
230,2025-03-11 16:47:16
229,2025-03-11 16:47:17
229,2025-03-11 16:47:18
228,2025-03-11 16:47:19
228,2025-03-11 16:47:20
228,2025-03-11 16:47:21
227,2025-03-11 16:47:22
227,2025-03-11 16:47:23
227,2025-03-11 16:47:24
226,2025-03-11 16:47:25
226,2025-03-11 16:47:26
226,2025-03-11 16:47:27
225,2025-03-11 16:47:28
225,2025-03-11 16:47:29
225,2025-03-11 16:47:30
225,2025-03-11 16:47:31
224,2025-03-11 16:47:32
224,2025-03-11 16:47:33
224,2025-03-11 16:47:34
224,2025-03-11 16:47:35
223,2025-03-11 16:47:36
224,2025-03-11 16:47:37
224,2025-03-11 16:47:38
223,2025-03-11 16:47:39
223,2025-03-11 16:47:40
223,2025-03-11 16:47:41
223,2025-03-11 16:47:42
223,2025-03-11 16:47:43
222,2025-03-11 16:47:44
222,2025-03-11 16:47:45
222,2025-03-11 16:47:46
222,2025-03-11 16:47:47
222,2025-03-11 16:47:48
222,2025-03-11 16:47:49
222,2025-03-11 16:47:50
222,2025-03-11 16:47:51
222,2025-03-11 16:47:52
222,2025-03-11 16:47:53
222,2025-03-11 16:47:54
222,2025-03-11 16:47:55
222,2025-03-11 16:47:56
221,2025-03-11 16:47:57
222,2025-03-11 16:47:58
221,2025-03-11 16:47:59
221,2025-03-11 16:48:00
221,2025-03-11 16:48:01
221,2025-03-11 16:48:02
221,2025-03-11 16:48:03
221,2025-03-11 16:48:04
221,2025-03-11 16:48:05
220,2025-03-11 16:48:06
220,2025-03-11 16:48:07
220,2025-03-11 16:48:08
220,2025-03-11 16:48:09
220,2025-03-11 16:48:10
220,2025-03-11 16:48:11
220,2025-03-11 16:48:12
220,2025-03-11 16:48:13
221,2025-03-11 16:48:14
220,2025-03-11 16:48:15
220,2025-03-11 16:48:16
219,2025-03-11 16:48:17
219,2025-03-11 16:48:18
220,2025-03-11 16:48:19
220,2025-03-11 16:48:20
219,2025-03-11 16:48:21
297,2025-03-11 16:48:22
323,2025-03-11 16:48:25
306,2025-03-11 16:48:28
290,2025-03-11 16:48:32
280,2025-03-11 16:48:35
275,2025-03-11 16:48:38
267,2025-03-11 16:48:41
